trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
36.08916092,-115.17575073,OpenRoaming@CLUS,0,20240604-00000,2024-06-04 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:41:AD,,infra,,2,0,?,?,?,False,116,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08840179,-115.17629242,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:46:CD,,infra,,2,0,?,?,?,False,56,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08857727,-115.17619324,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:4C:6D,,infra,,2,0,?,?,?,False,48,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08821106,-115.17643738,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:4C:CD,,infra,,2,0,?,?,?,False,104,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08857346,-115.17622375,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:4C:ED,,infra,,2,0,?,?,?,False,64,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08929825,-115.17586517,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-03 20:00:00+00:00,2024-06-03 21:00:00+00:00,24:16:1B:AE:4D:AD,,infra,,2,0,?,?,?,False,56,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08870316,-115.17609406,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:4E:ED,,infra,,2,0,?,?,?,False,124,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.10519791,-115.16532898,OpenRoaming@CLUS,0,20240603-00000,2024-06-03 23:00:00+00:00,2024-06-03 20:00:00+00:00,2024-06-03 21:00:00+00:00,24:16:1B:AE:56:8D,,infra,,2,0,?,?,?,False,140,4096 5a03ba0000,wpa2,US,NV,Koval Lane,,,89158
36.08873749,-115.17613983,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:58:CD,,infra,,2,0,?,?,?,False,132,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08827209,-115.17636108,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:58:ED,,infra,,2,0,?,?,?,False,52,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08842468,-115.17632294,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:59:4D,,infra,,2,0,?,?,?,False,144,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08922958,-115.17581177,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:59:ED,,infra,,2,0,?,?,?,False,56,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08857727,-115.17622375,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:5A:0D,,infra,,2,0,?,?,?,False,116,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08857727,-115.17617798,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:5B:0D,,infra,,2,0,?,?,?,False,144,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08845139,-115.17627716,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:5B:2D,,infra,,2,0,?,?,?,False,140,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08847046,-115.1762619,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:5B:6D,,infra,,2,0,?,?,?,False,132,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08880997,-115.17610931,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:5C:4D,,infra,,2,0,?,?,?,False,136,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08854675,-115.17623138,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:5C:CD,,infra,,2,0,?,?,?,False,112,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.09070969,-115.17690277,OpenRoaming@CLUS,4,20240409-00000,2024-04-09 21:00:00+00:00,2024-06-03 20:00:00+00:00,2024-06-03 21:00:00+00:00,24:16:1B:AE:5D:2D,,infra,,2,0,?,?,?,False,132,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
36.08821869,-115.1763916,OpenRoaming@CLUS,1,20240603-00000,2024-06-03 14:00:00+00:00,2024-06-04 08:00:00+00:00,2024-06-04 08:00:00+00:00,24:16:1B:AE:5D:ED,,infra,,2,0,?,?,?,False,52,4096 5a03ba0000,wpa2,US,NV,Four Seasons Drive,,,89119-1001
